Net;Sheet;Component;Pin
1;memory-reg-3x3;U13;A
1;memory-reg-3x3;U15;-
2;memory-reg-3x3;U14;A
2;memory-reg-3x3;U15;+
3;memory-reg-3x3;U16;A
3;memory-reg-3x3;U18;-
4;memory-reg-3x3;U18;+
4;memory-reg-3x3;U17;A
5;memory-reg-3x3;U10;-
5;memory-reg-3x3;U1;D
6;memory-reg-3x3;U4;D
6;memory-reg-3x3;U10;0
7;memory-reg-3x3;U12;-
7;memory-reg-3x3;U10;A
8;memory-reg-3x3;U11;A
8;memory-reg-3x3;U12;+
9;memory-reg-3x3;U7;D
9;memory-reg-3x3;U10;+
10;memory-reg-3x3;U2;D
10;memory-reg-3x3;U13;-
11;memory-reg-3x3;U5;D
11;memory-reg-3x3;U13;0
12;memory-reg-3x3;U13;+
12;memory-reg-3x3;U8;D
13;memory-reg-3x3;U16;-
13;memory-reg-3x3;U3;D
14;memory-reg-3x3;U6;D
14;memory-reg-3x3;U16;0
15;memory-reg-3x3;U9;D
15;memory-reg-3x3;U16;+
16;memory-reg-3x3;U1;S
16;memory-reg-3x3;U11;-
17;memory-reg-3x3;U11;0
17;memory-reg-3x3;U4;S
18;memory-reg-3x3;U7;S
18;memory-reg-3x3;U11;+
19;memory-reg-3x3;U14;-
19;memory-reg-3x3;U2;S
20;memory-reg-3x3;U14;0
20;memory-reg-3x3;U5;S
21;memory-reg-3x3;U14;+
21;memory-reg-3x3;U8;S
22;memory-reg-3x3;U17;-
22;memory-reg-3x3;U3;S
23;memory-reg-3x3;U6;S
23;memory-reg-3x3;U17;0
24;memory-reg-3x3;U17;+
24;memory-reg-3x3;U9;S
ADRi;memory-reg-3x3;U18;B
ADRi;memory-reg-3x3;U15;B
ADRi;memory-reg-3x3;U12;B
READ0;memory-reg-3x3;U10;B
READ1;memory-reg-3x3;U13;B
READ2;memory-reg-3x3;U16;B
RW;memory-reg-3x3;U18;A
RW;memory-reg-3x3;U12;A
RW;memory-reg-3x3;U15;A
WRITE0;memory-reg-3x3;U11;B
WRITE1;memory-reg-3x3;U14;B
WRITE2;memory-reg-3x3;U17;B
